dataset	lang	tokenizer	vocab_size	freq@95%	avg_len
en_ga	en	bpe	500	30	39.5477071005917
en_ga	ga	unigram	500	75	42.835798816568
en_ga	ga	hft	500	8	48.28266765286
en_ga	en	unigram	500	66	38.6881163708087
en_ga	ga	bpe	500	65	43.7622041420118
en_ga	en	hft	500	8	42.6010848126233
en_ga	en	hft	750	26	36.3592209072978
en_ga	ga	unigram	750	40	38.2980769230769
en_ga	ga	hft	750	63	41.1743096646943
en_ga	en	unigram	750	37	34.213634122288
en_ga	en	bpe	1000	13	32.1580374753452
en_ga	ga	bpe	1000	19	35.7681213017751
en_ga	ga	hft	1500	42	32.4882889546351
en_ga	en	unigram	1500	14	28.1860207100592
en_ga	ga	unigram	1500	16	32.1063856015779
en_ga	en	hft	1500	37	28.5788954635108
en_ga	ga	bpe	2000	7	30.0181213017752
en_ga	en	bpe	2000	5	26.710798816568
en_ga	en	unigram	3000	5	24.2119082840237
en_ga	ga	unigram	3000	6	27.7954881656805
en_ga	en	hft	3000	11	23.4130917159763
en_ga	ga	hft	3000	13	26.7949950690335
en_ga	en	bpe	4000	2	22.8738905325444
en_ga	ga	hft	4000	8	25.1804733727811
en_ga	ga	bpe	4000	3	25.9065581854043
en_ga	en	hft	4000	7	21.8979289940828
en_ga	en	unigram	4000	3	23.0252712031558
en_ga	ga	unigram	4000	4	26.5310650887574
en_ga	en	hft	6000	3	20.3406065088757
en_ga	ga	hft	6000	4	23.2839003944773
en_ga	ga	unigram	6000	2	25.1151380670611
en_ga	en	unigram	6000	2	21.9002712031558
en_ga	en	bpe	8000	1	20.4605522682446
en_ga	en	hft	8000	2	19.3693293885602
en_ga	ga	bpe	8000	1	23.1634615384615
en_ga	ga	hft	8000	2	22.2618343195266
en_ga	ga	unigram	8000	1	24.5220660749507
en_ga	en	unigram	8000	1	21.4587031558185
