dataset	lang	tokenizer	vocab_size	train	token	model_type
en_mr	en	en_bpe_0.5k	500	0.683095216751099	2.53432488441467	bpe
en_mr	en	en_bpe_1.0k	1000	0.628785371780396	2.53114867210388	bpe
en_mr	en	en_bpe_2.0k	2000	0.710434436798096	2.58502745628357	bpe
en_mr	en	en_bpe_4.0k	4000	0.848131895065308	2.62042307853699	bpe
en_mr	en	en_bpe_8.0k	8000	1.15308570861816	2.65874886512756	bpe
en_mr	en	en_bpe_16.0k	16000	1.88512873649597	2.89960336685181	bpe
en_mr	en	en_bpe_32.0k	32000	3.10722351074219	2.85969281196594	bpe
en_mr	mr	mr_bpe_0.5k	500	0.925594568252564	2.88143634796143	bpe
en_mr	mr	mr_bpe_1.0k	1000	1.01919269561768	3.04908561706543	bpe
en_mr	mr	mr_bpe_2.0k	2000	1.32805252075195	2.74012780189514	bpe
en_mr	mr	mr_bpe_4.0k	4000	1.70348334312439	2.91856217384338	bpe
en_mr	mr	mr_bpe_8.0k	8000	2.47178220748901	3.04023003578186	bpe
en_mr	mr	mr_bpe_16.0k	16000	4.84833216667175	2.81424331665039	bpe
en_mr	mr	mr_bpe_32.0k	32000	10.476167678833	3.00264716148376	bpe
en_mr	en	en_unigram_0.5k	500	1.96332669258118	1.69177770614624	unigram
en_mr	en	en_unigram_0.75k	750	1.87895655632019	1.63550090789795	unigram
en_mr	en	en_unigram_1.5k	1500	1.74854755401611	1.53950095176697	unigram
en_mr	en	en_unigram_3.0k	3000	1.65106797218323	1.47090435028076	unigram
en_mr	en	en_unigram_4.0k	4000	1.60558986663818	1.7049663066864	unigram
en_mr	en	en_unigram_6.0k	6000	1.69999170303345	1.73233962059021	unigram
en_mr	en	en_unigram_8.0k	8000	1.41019439697266	1.8108274936676	unigram
en_mr	mr	mr_unigram_0.5k	500	3.35969519615173	1.9054708480835	unigram
en_mr	mr	mr_unigram_0.75k	750	2.61356282234192	1.71960210800171	unigram
en_mr	mr	mr_unigram_1.5k	1500	2.45412421226501	1.28864359855652	unigram
en_mr	mr	mr_unigram_3.0k	3000	2.30668544769287	1.12431025505066	unigram
en_mr	mr	mr_unigram_4.0k	4000	2.25877213478088	1.38804197311401	unigram
en_mr	mr	mr_unigram_6.0k	6000	2.69290494918823	2.02501487731934	unigram
en_mr	mr	mr_unigram_8.0k	8000	2.25239157676697	1.92069602012634	unigram
en_mr	en	en_hft_0.5k	500	3.60617423057556	5.79146146774292	hft
en_mr	en	en_hft_0.75k	750	5.04256415367126	5.95674443244934	hft
en_mr	en	en_hft_1.5k	1500	12.9279742240906	6.4831805229187	hft
en_mr	en	en_hft_3.0k	3000	32.7763910293579	6.96492314338684	hft
en_mr	en	en_hft_4.0k	4000	46.0771477222443	6.98042464256287	hft
en_mr	en	en_hft_6.0k	6000	75.6104345321655	7.1843318939209	hft
en_mr	en	en_hft_8.0k	8000	108.90301823616	7.29169702529907	hft
en_mr	mr	mr_hft_0.5k	500	4.31460428237915	5.61529731750488	hft
en_mr	mr	mr_hft_0.75k	750	6.84190201759338	6.06109642982483	hft
en_mr	mr	mr_hft_1.5k	1500	16.1663687229157	6.47289562225342	hft
en_mr	mr	mr_hft_3.0k	3000	37.5702133178711	6.75350761413574	hft
en_mr	mr	mr_hft_4.0k	4000	52.481347322464	7.11117696762085	hft
en_mr	mr	mr_hft_6.0k	6000	83.307986497879	7.10899090766907	hft
en_mr	mr	mr_hft_8.0k	8000	115.608410358429	7.35850238800049	hft
